"nombre_archivo","url_descarga","fecha_cargue"
"validacionTroncal20260609.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260609.zip","2026-06-10"
"validacionTroncal20260608.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260608.zip","2026-07-03"
"validacionTroncal20260607.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260607.zip","2026-06-11"
"validacionTroncal20260606.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260606.zip","2026-06-11"
"validacionTroncal20260605.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260605.zip","2026-07-03"
"validacionTroncal20260604.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260604.zip","2026-07-03"
"validacionTroncal20260603.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260603.zip","2026-07-03"
"validacionTroncal20260602.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260602.zip","2026-07-03"
"validacionTroncal20260601.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260601.zip","2026-07-03"
"validacionTroncal20260531.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260531.zip","2026-06-01"
"validacionTroncal20260530.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260530.zip","2026-05-31"
"validacionTroncal20260529.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260529.zip","2026-05-30"
"validacionTroncal20260528.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260528.zip","2026-05-29"
"validacionTroncal20260527.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260527.zip","2026-05-28"
"validacionTroncal20260526.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260526.zip","2026-05-27"
"validacionTroncal20260525.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260525.zip","2026-05-26"
"validacionTroncal20260524.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260524.zip","2026-05-25"
"validacionTroncal20260523.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260523.zip","2026-05-24"
"validacionTroncal20260522.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260522.zip","2026-05-23"
"validacionTroncal20260521.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260521.zip","2026-05-22"
"validacionTroncal20260520.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260520.zip","2026-05-21"
"validacionTroncal20260519.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260519.zip","2026-05-20"
"validacionTroncal20260518.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260518.zip","2026-05-19"
"validacionTroncal20260517.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260517.zip","2026-05-18"
"validacionTroncal20260516.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260516.zip","2026-05-17"
"validacionTroncal20260515.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260515.zip","2026-05-16"
"validacionTroncal20260514.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260514.zip","2026-05-15"
"validacionTroncal20260513.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260513.zip","2026-05-14"
"validacionTroncal20260512.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260512.zip","2026-05-13"
"validacionTroncal20260511.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260511.zip","2026-05-12"
"validacionTroncal20260510.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260510.zip","2026-05-11"
"validacionTroncal20260509.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260509.zip","2026-05-10"
"validacionTroncal20260508.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260508.zip","2026-05-09"
"validacionTroncal20260507.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260507.zip","2026-05-08"
"validacionTroncal20260506.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260506.zip","2026-05-07"
"validacionTroncal20260505.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260505.zip","2026-05-06"
"validacionTroncal20260504.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260504.zip","2026-05-05"
"validacionTroncal20260503.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260503.zip","2026-05-04"
"validacionTroncal20260502.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260502.zip","2026-05-03"
"validacionTroncal20260501.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260501.zip","2026-05-02"
"validacionTroncal20260430.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260430.zip","2026-05-01"
"validacionTroncal20260429.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260429.zip","2026-04-30"
"validacionTroncal20260428.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260428.zip","2026-04-29"
"validacionTroncal20260427.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260427.zip","2026-04-28"
"validacionTroncal20260426.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260426.zip","2026-04-27"
