"route.id","alpha","aristas caidas"
"11913",2.4,28
"11913",2.45,27
"11913",2.5,20
"11913",2.55,23
"11913",2.6,23
"11913",2.65,23
"11913",2.7,23
"11913",2.75,21
"11913",2.8,15
"11913",2.85,15
"11913",2.9,15
"11913",2.95,15
"11913",3,20
"10075",0,539
"10075",0.05,535
"10075",0.1,546
"10075",0.15,542
"10075",0.2,536
"10075",0.25,533
"10075",0.3,528
"10075",0.35,532
"10075",0.4,529
"10075",0.45,535
"10075",0.5,543
"10075",0.55,542
"10075",0.6,536
"10075",0.65,535
"10075",0.7,533
"10075",0.75,527
"10075",0.8,522
"10075",0.85,521
"10075",0.9,518
"10075",0.95,510
"10075",1,440
"10075",1.05,398
"10075",1.1,396
"10075",1.15,405
"10075",1.2,394
"10075",1.25,379
"10075",1.3,370
"10075",1.35,355
"10075",1.4,359
"10075",1.45,330
"10075",1.5,366
"10075",1.55,322
"10075",1.6,15
"10075",1.65,343
"10075",1.7,332
"10075",1.75,23
"10075",1.8,22
"10075",1.85,20
"10075",1.9,20
"10075",1.95,15
"10075",2,14
"10075",2.05,14
"10075",2.1,14
"10075",2.15,14
"10075",2.2,13
"10075",2.25,13
"10075",2.3,13
"10075",2.35,10
"10075",2.4,0
"10075",2.45,0
"10075",2.5,0
"10075",2.55,0
"10075",2.6,0
"10075",2.65,0
"10075",2.7,0
"10075",2.75,0
"10075",2.8,0
"10075",2.85,0
"10075",2.9,0
"10075",2.95,0
"10075",3,0
"11231",0,573
"11231",0.05,570
"11231",0.1,566
"11231",0.15,564
"11231",0.2,561
"11231",0.25,561
"11231",0.3,558
"11231",0.35,556
"11231",0.4,555
"11231",0.45,553
"11231",0.5,550
"11231",0.55,546
"11231",0.6,541
"11231",0.65,539
"11231",0.7,539
"11231",0.75,538
"11231",0.8,534
"11231",0.85,532
"11231",0.9,530
"11231",0.95,528
"11231",1,0
"11231",1.05,0
"11231",1.1,0
"11231",1.15,0
"11231",1.2,0
"11231",1.25,0
"11231",1.3,0
"11231",1.35,0
"11231",1.4,0
"11231",1.45,0
"11231",1.5,0
"11231",1.55,0
"11231",1.6,0
"11231",1.65,0
"11231",1.7,0
"11231",1.75,0
"11231",1.8,0
"11231",1.85,0
"11231",1.9,0
"11231",1.95,0
"11231",2,0
"11231",2.05,0
"11231",2.1,0
"11231",2.15,0
"11231",2.2,0
"11231",2.25,0
"11231",2.3,0
"11231",2.35,0
"11231",2.4,0
"11231",2.45,0
"11231",2.5,0
"11231",2.55,0
"11231",2.6,0
"11231",2.65,0
"11231",2.7,0
"11231",2.75,0
"11231",2.8,0
"11231",2.85,0
"11231",2.9,0
"11231",2.95,0
"11231",3,0
"10039",0,543
"10039",0.05,563
"10039",0.1,561
"10039",0.15,557
"10039",0.2,556
"10039",0.25,555
"10039",0.3,552
"10039",0.35,549
"10039",0.4,551
"10039",0.45,549
"10039",0.5,545
"10039",0.55,544
"10039",0.6,542
"10039",0.65,541
"10039",0.7,541
"10039",0.75,540
"10039",0.8,534
"10039",0.85,526
"10039",0.9,535
"10039",0.95,529
"10039",1,429
"10039",1.05,442
"10039",1.1,390
"10039",1.15,373
"10039",1.2,395
"10039",1.25,397
"10039",1.3,374
"10039",1.35,369
"10039",1.4,329
"10039",1.45,2
"10039",1.5,2
"10039",1.55,2
"10039",1.6,2
"10039",1.65,0
"10039",1.7,0
"10039",1.75,0
"10039",1.8,0
"10039",1.85,0
"10039",1.9,0
"10039",1.95,0
"10039",2,0
"10039",2.05,0
"10039",2.1,0
"10039",2.15,0
"10039",2.2,0
"10039",2.25,0
"10039",2.3,0
"10039",2.35,0
